Product Code,Category,Item Name,Best Price,Best Unit Price,Item Price,Unit Price,Link,Price Was,Special Text,Complex Promo Text
3958530,Fruit & Vegetables,Coles Brushed Potatoes | 4kg,7.5,1.881,7.5,1.881,https://www.coles.com.au/product/coles-brushed-potatoes-4kg-3958530,,,
6866880,Fruit & Vegetables,Coles Dragonfruit Fresh | 1 each,5.5,5.501,5.5,5.501,https://www.coles.com.au/product/coles-dragonfruit-fresh-1-each-6866880,,,
1988904,Fruit & Vegetables,Coles Kitchen Potato Salad | 800g,7,8.751,7,8.751,https://www.coles.com.au/product/coles-kitchen-potato-salad-800g-1988904,,,
8726360,Fruit & Vegetables,Coles Pretzels | approx 100g,1.8,18.001,1.8,18.001,https://www.coles.com.au/product/coles-pretzels-approx.-100g-8726360,,,
8412170,Fruit & Vegetables,Coles Deluxe Natural Mixed Nuts | approx 100g,2.9,29.001,2.9,29.001,https://www.coles.com.au/product/coles-deluxe-natural-mixed-nuts-approx.-100g-8412170,,,
2724760,Fruit & Vegetables,Coles Organic Baby Salad Leaves Lettuce Mix | 100g,4.9,49.001,4.9,49.001,https://www.coles.com.au/product/coles-organic-baby-salad-leaves-lettuce-mix-100g-2724760,,,
8704696,Fruit & Vegetables,Coles Honey & Dijon Soy Crisps | approx 100g,1.8,18.001,1.8,18.001,https://www.coles.com.au/product/coles-honey-and-dijon-soy-crisps-approx.-100g-8704696,,,
8725969,Fruit & Vegetables,Coles Honey Cashews | approx 100g,2.9,29.001,2.9,29.001,https://www.coles.com.au/product/coles-honey-cashews-approx.-100g-8725969,,,
4596456,Fruit & Vegetables,Coles Lettuce Decorative Oak Red | 1 each,3.2,3.201,3.2,3.201,https://www.coles.com.au/product/coles-lettuce-decorative-oak-red-1-each-4596456,,,
4924034,Fruit & Vegetables,Coles Dutch Carrots | 1 each,3.9,3.901,3.9,3.901,https://www.coles.com.au/product/coles-dutch-carrots-1-each-4924034,,,
6934764,Fruit & Vegetables,Coles Jazz Apples Prepacked | 1kg,5.9,5.901,5.9,5.901,https://www.coles.com.au/product/coles-jazz-apples-prepacked-1kg-6934764,,,
429000,Fruit & Vegetables,Coles Corella Pears | approx 210g,1.16,5.501,1.16,5.501,https://www.coles.com.au/product/coles-corella-pears-approx.-210g-429000,,,
6867033,Fruit & Vegetables,Coles Figs Loose | 1 each,1.9,1.901,1.9,1.901,https://www.coles.com.au/product/coles-figs-loose-1-each-6867033,,,
8413219,Fruit & Vegetables,Coles Roasted Salted Almonds | approx 100g,2.2,22.001,2.2,22.001,https://www.coles.com.au/product/coles-roasted-salted-almonds-approx.-100g-8413219,,,
3308498,Fruit & Vegetables,Gourmet Garden Garlic Cold Blende Paste Value P ... 120g,5,0.421,5,0.421,https://www.coles.com.au/product/gourmet-garden-garlic-cold-blende-paste-value-pack-120g-3308498,,,
4976130,Fruit & Vegetables,Coles Organic Royal Gala Apples | 1kg,7.8,7.801,7.8,7.801,https://www.coles.com.au/product/coles-organic-royal-gala-apples-1kg-4976130,,,
2310971,Fruit & Vegetables,Coles Kitchen Broccoli Florets | 150g,2,13.331,2,13.331,https://www.coles.com.au/product/coles-kitchen-broccoli-florets-150g-2310971,,,
4544849,Fruit & Vegetables,Crunchy Combo Sprouts | 200g,2.5,12.501,2.5,12.501,https://www.coles.com.au/product/crunchy-combo-sprouts-200g-4544849,,,
1473970,Fruit & Vegetables,Coles Mini Red Cabbage | 1 each,5.5,5.501,5.5,5.501,https://www.coles.com.au/product/coles-mini-red-cabbage-1-each-1473970,,,
4462223,Fruit & Vegetables,Coles Kitchen Classic Vegetable Stir Fry | 750g,6.5,8.671,6.5,8.671,https://www.coles.com.au/product/coles-kitchen-classic-vegetable-stir-fry-750g-4462223,,,
4913129,Fruit & Vegetables,Coles Okra loose | approx 10g,0.26,25.901,0.26,25.901,https://www.coles.com.au/product/coles-okra-loose-approx.-10g-4913129,,,
8412067,Fruit & Vegetables,Coles Cranberries | approx 100g,2.2,22.001,2.2,22.001,https://www.coles.com.au/product/coles-cranberries-approx.-100g-8412067,,,
2997944,Fruit & Vegetables,Gourmet Garden Lightly Dried Basil | 10g,4,4.001,4,4.001,https://www.coles.com.au/product/gourmet-garden-lightly-dried-basil-10g-2997944,,,
5519519,Fruit & Vegetables,Coles Salad Blend Iceberg & Cos | 500g,5,10.001,5,10.001,https://www.coles.com.au/product/coles-salad-blend-iceberg-and-cos-500g-5519519,,,
5017430,Fruit & Vegetables,Coles Organic Pak Choy Bunch | 1 each,5.5,5.501,5.5,5.501,https://www.coles.com.au/product/coles-organic-pak-choy-bunch-1-each-5017430,,,
5032219,Fruit & Vegetables,Coles Organic Zucchini | 500g,5.5,11.001,5.5,11.001,https://www.coles.com.au/product/coles-organic-zucchini-500g-5032219,,,
2829509,Fruit & Vegetables,Coles Portobello Brown Mushrooms | 375g,9,24.001,9,24.001,https://www.coles.com.au/product/coles-portobello-brown-mushrooms-375g-2829509,,,
5415852,Fruit & Vegetables,Coles Panama Passionfruit | 1 each,1.9,1.901,1.9,1.901,https://www.coles.com.au/product/coles-panama-passionfruit-1-each-5415852,,,
3119043,Fruit & Vegetables,Coles Organic Kent Pumpkin | approx 800g,5.2,6.501,5.2,6.501,https://www.coles.com.au/product/coles-organic-kent-pumpkin-approx.-800g-each-3119043,,,
3048820,Fruit & Vegetables,Coles Organic Broccoli | 500g,7.9,15.801,7.9,15.801,https://www.coles.com.au/product/coles-organic-broccoli-500g-3048820,,,
3769901,Fruit & Vegetables,Coles Strawberry Dream | approx 100g,2.5,25.001,2.5,25.001,https://www.coles.com.au/product/coles-strawberry-dream-approx.-100g-3769901,,,
9572863,Fruit & Vegetables,Coles Organic Coriander Bunch | 1 bunch,4.5,4.501,4.5,4.501,https://www.coles.com.au/product/coles-organic-coriander-bunch-1-bunch-9572863,,,
9861850,Fruit & Vegetables,Coles Organic Green Beans Prepacked | 250g,4.9,19.601,4.9,19.601,https://www.coles.com.au/product/coles-organic-green-beans-prepacked-250g-9861850,,,
4462562,Fruit & Vegetables,Coles Kitchen Green Goddess Veggie Pot | 200g,5,25.001,5,25.001,https://www.coles.com.au/product/coles-kitchen-green-goddess-veggie-pot-200g-4462562,,,
5162214,Fruit & Vegetables,Coles Organic Pears | 1kg,5.9,5.901,5.9,5.901,https://www.coles.com.au/product/coles-organic-pears-1kg-5162214,,,
