Store,Timestamp,Product Name,Size,Original Price,Discounted Price,Unit Price,Product Link
Foodland Balaklava,2025-05-04 23:54:18,Doritos Corn Chips Cheese Supreme Share Pack,170g,was $5.00,$3.60,$2.12 per 100g,https://foodlandbalaklava.com.au//lines/doritos-c-chip-chse-sprm-170gm
Foodland Balaklava,2025-05-04 23:54:18,Foodland full cream Milk,1L,was $2.00,$1.90,$1.90 per L,https://foodlandbalaklava.com.au//lines/f-land-milk-1lt
Foodland Balaklava,2025-05-04 23:54:18,Four'n Twenty Party Pies,600g,was $8.95,$7.50,$1.25 per 100g,https://foodlandbalaklava.com.au//lines/4-n-20-pie-party-12s-600gm
Foodland Balaklava,2025-05-04 23:54:18,Heinz® Big Red® Condensed Tomato Soup,420g,was $2.65,$2.00,$0.48 per 100g,https://foodlandbalaklava.com.au//lines/hnz-soup-tomato-big-red-420gm
Foodland Balaklava,2025-05-04 23:54:18,Ingham Diced Chicken R/​W,N/A,N/A,$11.20,$14.00 per kg,https://foodlandbalaklava.com.au//lines/ingham-diced-chicken-r-w-1
Foodland Balaklava,2025-05-04 23:54:18,Nestle Peters Original Vanilla 2,N/A,N/A,$5.50,$0.28 per 100mL,https://foodlandbalaklava.com.au//lines/peters-i-crm-orig-vanilla-2l
Foodland Balaklava,2025-05-04 23:54:18,Potatoes Washed,5kg,was $10.80,$7.75,$1.55 per kg,https://foodlandbalaklava.com.au//lines/potatoes-washed-5kg
Foodland Balaklava,2025-05-04 23:54:18,Rohde Eggs Free Range,700g,N/A,$7.90,$1.13 per 100g,https://foodlandbalaklava.com.au//lines/rohde-eggs-free-range-700gm
Foodland Balaklava,2025-05-04 23:54:18,Salami Hung Mild,N/A,was $35.00,$29.90,N/A,https://foodlandbalaklava.com.au//lines/salami-hung-mild
Foodland Balaklava,2025-05-04 23:54:18,Whiskas 1+ Years Adult Wet Cat Food With Lamb Mince Can,400g,was $2.85,$2.45,$0.61 per 100g,https://foodlandbalaklava.com.au//lines/whiskas-mince-lamb-t-veg-400gm
Foodland Balaklava,2025-05-04 23:54:18,Community Co Asian Salad Kit,250g,was $5.30,$2.85,$11.40 per kg,https://foodlandbalaklava.com.au//lines/comm-co-asian-style-salad-kit-drs-250gm
Foodland Balaklava,2025-05-04 23:54:18,Arnott's Shapes Originals Variety 15 Multipack Chips Cracker Biscuits,375g,N/A,$6.50,$1.73 per 100g,https://foodlandbalaklava.com.au//lines/arn-shapes-var-mp-box-375gm
Foodland Balaklava,2025-05-04 23:54:18,Arnott's Tiny Teddy Variety Biscuits,375g,N/A,$6.50,$1.73 per 100g,https://foodlandbalaklava.com.au//lines/arn-tiny-teddy-var-mp-box375gm
Foodland Balaklava,2025-05-04 23:54:18,Bacon Middle Rashers,N/A,N/A,$20.00,N/A,https://foodlandbalaklava.com.au//lines/bacon-middle-rashers-1
Foodland Balaklava,2025-05-04 23:54:18,Birds Eye Broccoli Florets,500g,was $4.75,$4.50,$9.00 per kg,https://foodlandbalaklava.com.au//lines/b-eye-broccoli-500gm
Foodland Balaklava,2025-05-04 23:54:18,Black & Gold Tissues Facial 2ply 224s,N/A,N/A,$2.00,$0.89 Units100,https://foodlandbalaklava.com.au//lines/b-gold-tissues-facial-2ply224s
